latitude,longitude,Junction Index,Stream Order,NI,receiver_NI,receiver_JI
-24.665773,-65.764568,0,1,2846,2845,1
-24.665774,-65.764598,0,1,2845,2929,1
-24.665801,-65.764627,0,1,2929,3014,1
-24.665829,-65.764656,0,1,3014,3099,1
-24.665857,-65.764685,0,1,3099,3185,1
-24.665884,-65.764714,0,1,3185,3272,1
-24.665912,-65.764743,0,1,3272,3359,1
-24.66594,-65.764771,0,1,3359,3447,1
-24.665967,-65.7648,0,1,3447,3446,1
-24.665968,-65.76483,0,1,3446,3445,1
-24.665969,-65.76486,0,1,3445,3355,1
-24.665942,-65.76489,0,1,3355,3266,1
-24.665916,-65.76492,0,1,3266,3177,1
-24.665889,-65.764951,0,1,3177,3089,1
-24.665863,-65.764981,0,1,3089,3088,1
-24.665864,-65.76501,0,1,3088,3087,1
-24.665864,-65.76504,0,1,3087,3086,1
-24.665865,-65.76507,0,1,3086,3085,1
-24.665866,-65.765099,0,1,3085,3084,1
-24.665866,-65.765129,0,1,3084,3083,1
-24.665867,-65.765158,0,1,3083,3082,1
-24.665868,-65.765188,0,1,3082,3081,1
-24.665868,-65.765218,0,1,3081,3080,1
-24.665869,-65.765247,0,1,3080,3166,1
-24.665896,-65.765276,0,1,3166,3253,1
-24.665924,-65.765305,0,1,3253,3340,1
-24.665952,-65.765334,0,1,3340,3428,1
-24.66598,-65.765363,0,1,3428,3516,1
-24.666007,-65.765392,0,1,3516,3604,1
-24.666035,-65.765421,1,2,3604,3692,2
-24.666063,-65.76545,1,2,3692,3782,2
-24.66609,-65.765449,1,2,3782,3872,2
-24.666117,-65.765448,1,2,3872,3962,2
-24.666144,-65.765447,1,2,3962,4052,2
-24.666171,-65.765447,1,2,4052,4141,2
-24.666199,-65.765476,1,2,4141,4231,2
-24.666226,-65.765505,1,2,4231,4322,2
-24.666253,-65.765504,1,2,4322,4413,2
-24.66628,-65.765503,1,2,4413,4503,2
-24.666307,-65.765502,1,2,4503,4593,2
-24.666334,-65.765502,1,2,4593,4683,2
-24.666361,-65.765501,1,2,4683,4773,2
-24.666389,-65.76553,1,2,4773,4864,2
-24.666416,-65.765529,1,2,4864,4955,2
-24.666443,-65.765529,1,2,4955,5046,2
-24.66647,-65.765528,1,2,5046,5137,2
-24.666497,-65.765527,1,2,5137,5228,2
-24.666524,-65.765526,1,2,5228,5318,2
-24.666552,-65.765555,1,2,5318,5409,2
-24.666579,-65.765555,1,2,5409,5500,2
-24.666606,-65.765554,1,2,5500,5590,2
-24.666634,-65.765583,1,2,5590,5681,2
-24.666661,-65.765582,1,2,5681,5772,2
-24.666688,-65.765582,1,2,5772,5862,2
-24.666716,-65.76561,1,2,5862,5953,2
-24.666743,-65.76561,1,2,5953,6044,2
-24.66677,-65.765609,1,2,6044,6135,2
-24.666797,-65.765608,1,2,6135,6226,2
-24.666824,-65.765608,1,2,6226,6317,2
-24.666851,-65.765607,1,2,6317,6408,2
-24.666878,-65.765606,1,2,6408,6500,2
-24.666905,-65.765606,1,2,6500,6592,2
-24.666932,-65.765605,1,2,6592,6684,2
-24.666959,-65.765604,1,2,6684,6776,2
-24.666986,-65.765603,1,2,6776,6868,2
-24.667013,-65.765603,1,2,6868,6960,2
-24.66704,-65.765602,1,2,6960,7053,2
-24.667067,-65.765601,1,2,7053,7146,2
-24.667094,-65.765601,1,2,7146,7240,2
-24.667121,-65.7656,1,2,7240,7335,2
-24.667148,-65.765599,1,2,7335,7430,2
-24.667176,-65.765599,1,2,7430,7524,2
-24.667203,-65.765627,1,2,7524,7620,2
-24.66723,-65.765627,1,2,7620,7716,2
-24.667257,-65.765626,1,2,7716,7813,2
-24.667284,-65.765625,1,2,7813,7910,2
-24.667311,-65.765625,1,2,7910,8009,2
-24.667338,-65.765624,1,2,8009,8108,2
-24.667366,-65.765623,1,2,8108,8207,2
-24.667393,-65.765623,1,2,8207,8307,2
-24.66742,-65.765622,2,2,8307,8412,3
-24.667447,-65.765621,2,2,8412,8519,3
-24.667474,-65.76562,2,2,8519,8631,3
-24.667501,-65.76562,2,2,8631,8746,3
-24.667528,-65.765619,2,2,8746,8862,3
-24.667556,-65.765648,2,2,8862,8981,3
-24.667583,-65.765647,2,2,8981,9102,3
-24.66761,-65.765676,2,2,9102,9227,3
-24.667637,-65.765675,2,2,9227,9354,3
-24.667664,-65.765675,2,2,9354,9482,3
-24.667692,-65.765704,2,2,9482,9612,3
-24.66772,-65.765733,2,2,9612,9745,3
-24.667747,-65.765732,2,2,9745,9880,3
-24.667774,-65.765731,2,2,9880,10024,3
-24.667802,-65.76576,2,2,10024,10177,3
-24.667829,-65.765759,2,2,10177,10338,3
-24.667856,-65.765788,2,2,10338,10509,3
-24.667884,-65.765817,2,2,10509,10692,3
-24.667912,-65.765846,2,2,10692,10892,3
-24.667939,-65.765845,2,2,10892,11102,3
-24.667966,-65.765874,2,2,11102,11320,3
-24.667994,-65.765903,2,2,11320,11547,3
-24.668022,-65.765932,2,2,11547,11793,3
-24.668049,-65.765961,2,2,11793,12042,3
-24.668077,-65.76596,2,2,12042,12293,3
-24.668104,-65.765989,2,2,12293,12546,3
-24.668132,-65.766018,2,2,12546,12802,3
-24.66816,-65.766047,2,2,12802,13061,3
-24.668187,-65.766076,2,2,13061,13323,3
-24.668214,-65.766075,2,2,13323,13587,3
-24.668241,-65.766075,2,2,13587,13852,3
-24.668269,-65.766103,2,2,13852,14118,3
-24.668297,-65.766132,2,2,14118,14387,3
-24.668324,-65.766161,2,2,14387,14658,3
-24.668352,-65.76619,2,2,14658,14931,3
-24.668379,-65.766189,2,2,14931,15204,3
-24.668407,-65.766218,2,2,15204,15481,3
-24.668434,-65.766218,2,2,15481,15758,3
-24.668462,-65.766247,2,2,15758,16041,3
-24.668489,-65.766246,2,2,16041,16337,3
-24.668516,-65.766245,2,2,16337,16639,3
-24.668543,-65.766274,2,2,16639,16944,3
-24.668571,-65.766303,2,2,16944,17251,3
-24.668599,-65.766332,2,2,17251,17561,3
-24.668626,-65.766361,2,2,17561,17875,3
-24.668654,-65.76639,2,2,17875,18190,3
-24.668682,-65.766419,2,2,18190,18506,3
-24.66871,-65.766448,2,2,18506,18824,3
-24.668737,-65.766476,2,2,18824,19143,3
-24.668765,-65.766505,2,2,19143,19462,3
-24.668793,-65.766534,2,2,19462,19782,3
-24.66882,-65.766563,2,2,19782,20102,3
-24.668848,-65.766592,2,2,20102,20423,3
-24.668875,-65.766591,2,2,20423,20744,3
-24.668902,-65.766591,2,2,20744,21065,3
-24.668929,-65.76659,2,2,21065,21387,3
-24.668956,-65.766589,2,2,21387,21708,3
-24.668984,-65.766618,2,2,21708,22031,3
-24.669011,-65.766617,2,2,22031,22354,3
-24.669039,-65.766646,2,2,22354,22681,3
-24.669066,-65.766675,2,2,22681,23017,3
-24.669094,-65.766704,2,2,23017,23368,3
-24.669122,-65.766733,2,2,23368,23733,3
-24.669149,-65.766762,2,2,23733,24099,3
-24.669177,-65.766791,2,2,24099,24468,3
-24.669204,-65.76679,2,2,24468,24838,3
-24.669232,-65.766819,2,2,24838,25209,3
-24.669259,-65.766848,2,2,25209,25583,3
-24.669287,-65.766847,2,2,25583,25957,3
-24.669314,-65.766876,2,2,25957,26333,3
-24.669342,-65.766905,2,2,26333,26711,3
-24.66937,-65.766934,2,2,26711,27089,3
-24.669397,-65.766963,2,2,27089,27468,3
-24.669425,-65.766992,2,2,27468,27847,3
-24.669453,-65.767021,2,2,27847,28228,3
-24.66948,-65.76705,2,2,28228,28610,3
-24.669507,-65.767049,2,2,28610,28992,3
-24.669534,-65.767048,2,2,28992,29372,3
-24.669562,-65.767077,2,2,29372,29754,3
-24.669589,-65.767076,2,2,29754,30135,3
-24.669616,-65.767076,2,2,30135,30517,3
-24.669643,-65.767075,2,2,30517,30899,3
-24.66967,-65.767074,2,2,30899,31282,3
-24.669697,-65.767074,2,2,31282,31665,3
-24.669724,-65.767073,2,2,31665,32048,3
-24.669752,-65.767072,2,2,32048,32431,3
-24.669779,-65.767101,2,2,32431,32814,3
-24.669806,-65.7671,2,2,32814,33196,3
-24.669834,-65.767129,2,2,33196,33577,3
-24.669862,-65.767158,2,2,33577,33959,3
-24.669889,-65.767187,2,2,33959,34341,3
-24.669917,-65.767216,2,2,34341,34722,3
-24.669945,-65.767245,2,2,34722,35103,3
-24.669972,-65.767274,2,2,35103,35485,3
-24.67,-65.767303,2,2,35485,35866,3
-24.670028,-65.767332,2,2,35866,36247,3
-24.670055,-65.767361,2,2,36247,36628,3
-24.670083,-65.76739,3,3,36628,37009,4
-24.670111,-65.767418,3,3,37009,37390,4
-24.670139,-65.767447,3,3,37390,37770,4
-24.670166,-65.767476,3,3,37770,38150,4
-24.670194,-65.767505,3,3,38150,38529,4
-24.670222,-65.767534,3,3,38529,38908,4
-24.670249,-65.767563,3,3,38908,39287,4
-24.670277,-65.767592,3,3,39287,39665,4
-24.670305,-65.767621,3,3,39665,39664,4
-24.670305,-65.76765,3,3,39664,40042,4
-24.670333,-65.767679,3,3,40042,40419,4
-24.670361,-65.767708,3,3,40419,40795,4
-24.670388,-65.767737,3,3,40795,41171,4
-24.670416,-65.767766,3,3,41171,41546,4
-24.670444,-65.767795,3,3,41546,41545,4
-24.670444,-65.767825,3,3,41545,41544,4
-24.670445,-65.767854,3,3,41544,41919,4
-24.670473,-65.767883,3,3,41919,42293,4
-24.6705,-65.767912,3,3,42293,42666,4
-24.670528,-65.767941,3,3,42666,43039,4
-24.670556,-65.76797,3,3,43039,43411,4
-24.670583,-65.767999,3,3,43411,43410,4
-24.670584,-65.768028,3,3,43410,43782,4
-24.670612,-65.768057,3,3,43782,44153,4
-24.670639,-65.768086,3,3,44153,44525,4
-24.670667,-65.768115,3,3,44525,44524,4
-24.670668,-65.768145,3,3,44524,44896,4
-24.670695,-65.768173,3,3,44896,44895,4
-24.670696,-65.768203,3,3,44895,44894,4
-24.670697,-65.768233,3,3,44894,45265,4
-24.670724,-65.768262,3,3,45265,45636,4
-24.670752,-65.768291,3,3,45636,46006,4
-24.67078,-65.768319,3,3,46006,46376,4
-24.670808,-65.768348,3,3,46376,46745,4
-24.670835,-65.768377,3,3,46745,47114,4
-24.670863,-65.768406,3,3,47114,47113,4
-24.670864,-65.768436,4,3,47113,47481,5
-24.670891,-65.768465,4,3,47481,47849,5
-24.670919,-65.768494,4,3,47849,47848,5
-24.67092,-65.768523,4,3,47848,48215,5
-24.670947,-65.768552,4,3,48215,48583,5
-24.670975,-65.768581,4,3,48583,48952,5
-24.671003,-65.76861,4,3,48952,49321,5
-24.67103,-65.768639,4,3,49321,49691,5
-24.671058,-65.768668,4,3,49691,50061,5
-24.671086,-65.768697,4,3,50061,50431,5
-24.671113,-65.768725,4,3,50431,50802,5
-24.671141,-65.768754,4,3,50802,51173,5
-24.671169,-65.768783,4,3,51173,51545,5
-24.671196,-65.768812,4,3,51545,51917,5
-24.671224,-65.768841,4,3,51917,52290,5
-24.671252,-65.76887,4,3,52290,52663,5
-24.67128,-65.768899,4,3,52663,53037,5
-24.671307,-65.768928,4,3,53037,53036,5
-24.671308,-65.768957,4,3,53036,53410,5
-24.671336,-65.768986,4,3,53410,53409,5
-24.671336,-65.769016,4,3,53409,53784,5
-24.671364,-65.769045,4,3,53784,54160,5
-24.671392,-65.769074,4,3,54160,54159,5
-24.671392,-65.769103,4,3,54159,54535,5
-24.67142,-65.769132,4,3,54535,54534,5
-24.67142,-65.769162,4,3,54534,54533,5
-24.671421,-65.769191,4,3,54533,54532,5
-24.671422,-65.769221,4,3,54532,54531,5
-24.671422,-65.769251,4,3,54531,54908,5
-24.67145,-65.76928,4,3,54908,54907,5
-24.671451,-65.769309,4,3,54907,54906,5
-24.671451,-65.769339,4,3,54906,54905,5
-24.671452,-65.769368,4,3,54905,54904,5
-24.671453,-65.769398,4,3,54904,55282,5
-24.67148,-65.769427,4,3,55282,55661,5
-24.671508,-65.769456,4,3,55661,56041,5
-24.671535,-65.769455,4,3,56041,56421,5
-24.671563,-65.769484,4,3,56421,56420,5
-24.671563,-65.769514,4,3,56420,56800,5
-24.671591,-65.769543,4,3,56800,57180,5
-24.671619,-65.769571,4,3,57180,57561,5
-24.671646,-65.7696,4,3,57561,57942,5
-24.671674,-65.769629,4,3,57942,58324,5
-24.671702,-65.769658,4,3,58324,58323,5
-24.671702,-65.769688,4,3,58323,58322,5
-24.671703,-65.769717,4,3,58322,58703,5
-24.671731,-65.769746,4,3,58703,58702,5
-24.671731,-65.769776,4,3,58702,58701,5
-24.671732,-65.769805,4,3,58701,58700,5
-24.671733,-65.769835,4,3,58700,59081,5
-24.67176,-65.769864,4,3,59081,59080,5
-24.671761,-65.769894,4,3,59080,59079,5
-24.671762,-65.769923,4,3,59079,59460,5
-24.671789,-65.769952,4,3,59460,59841,5
-24.671817,-65.769981,4,3,59841,60222,5
-24.671845,-65.77001,4,3,60222,60221,5
-24.671845,-65.77004,4,3,60221,60220,5
-24.671846,-65.770069,4,3,60220,60219,5
-24.671847,-65.770099,4,3,60219,60601,5
-24.671874,-65.770128,4,3,60601,60983,5
-24.671902,-65.770157,4,3,60983,61365,5
