ccID,ccLength,ccMeanSlope,ccStdSlope,minDrainageArea,maxDrainageArea,segmentLocation,slopeChangeToPrevCC,meanKSN
0_0_0.0,238.37629333604846,0.3275445371149239,0.09281785393182644,9000.3,33238.0,1.0,,17.43487878787879
0_0_1.0,276.56181965310816,0.5471354653771391,0.0959914719747093,33247.0,74306.0,2.0,-0.2195909282622151,44.832802816901435
0_0_2.0,1202.148464832191,0.5997769423438629,0.08248359556633923,75656.0,300380.0,3.0,-0.05252925263396202,80.18019528619527
0_1_0.0,307.7708845375101,0.41654906940652553,0.10237263809072979,9585.3,66188.0,1.0,,29.197069767441853
0_2_0.0,321.25733663758143,0.5609304836188858,0.10127585028611553,9531.3,74306.0,1.0,,40.84833750000002
0_3_0.0,1496.5075565356428,0.6040645744326922,0.08501042681819176,11745.0,300380.0,4.0,,69.8046566757493
0_4_0.0,1292.5396431715953,0.6152330750986685,0.10012292983091581,9999.3,300380.0,4.0,,75.3226896551724
0_5_0.0,1252.4606416000672,0.6089740900644122,0.0925755698334307,9000.3,300380.0,4.0,,76.08259677419353
0_6_0.0,1000.609521967346,0.5960957358741414,0.08619493244662875,9117.3,300380.0,4.0,,78.04991633466132
0_7_0.0,412.4956319891056,0.5834108402166255,0.09710052300787388,11448.0,300380.0,4.0,,84.52849999999998
10_0_0.0,877.9967122164463,0.6784306498666476,0.0708196067674777,9072.3,213920.0,1.0,,56.41621076233186
10_0_1.0,70.26105336071113,0.24744328814124222,0.08018290922196449,214970.0,219690.0,3.0,0.43269870995075443,48.914500000000004
10_1_0.0,817.7331138033295,0.6823685936647498,0.08043973489886358,11223.0,213920.0,1.0,,58.98998437500001
10_2_0.0,711.0035077423164,0.678987252345088,0.07652391824788113,11124.0,213920.0,1.0,,62.881085714285724
10_3_0.0,595.4037743345518,0.6693264500060123,0.08437859560609262,9018.3,213920.0,1.0,,61.58104109589041
10_4_0.0,551.8421723187357,0.6750166322403395,0.08497264677395401,9207.3,213920.0,1.0,,52.65272463768116
10_5_0.0,525.6794282893378,0.677717113031903,0.0929537713864051,9261.3,213920.0,1.0,,56.56592857142857
10_6_0.0,152.37499264886182,0.5122329548929605,0.06709679809519134,9090.3,215770.0,1.0,,62.90827027027028
11_0_0.0,313.12166173509206,0.4907966168264488,0.09162482742634889,9261.3,66269.0,1.0,,33.46169767441861
11_0_1.0,676.1957063551781,0.6337272764455767,0.10275972930928116,66341.0,218910.0,3.0,0.2455114656138413,71.3071529411765
11_1_0.0,201.24337479763435,0.4278585916746153,0.12581305859378156,9477.3,25129.0,1.0,,18.142791666666664
11_1_1.0,36.457893246375946,0.22432183592136673,0.08622406476393829,25282.0,31924.0,2.0,0.20353675575324842,18.11918181818182
11_1_2.0,702.5898765716913,0.6482967514970513,0.11322650958551572,31933.0,218910.0,3.0,0.2599941820257431,64.58191978609628
11_2_0.0,228.75862170105054,0.47100493607928634,0.0941742588676714,10413.0,66197.0,1.0,,36.607370967741936
11_3_0.0,191.83717274983155,0.4714881750413075,0.10507996248165503,9036.3,66197.0,1.0,,39.211081632653055
11_4_0.0,110.9850807816869,0.26018654532377256,0.07049973893055513,9486.3,31933.0,1.0,,16.7666
11_5_0.0,88.25758058228196,0.3968851585590368,0.06067172357569586,9099.3,10692.0,1.0,,16.343739130434784
