X,Y,StreamID,BasinID,Elevation,DrainageArea,XYDistanceToNextPixel,DownstreamDistance,3DDistanceToNextPixel,Slope,R2,ksn,FlowDistance_Catchment,ccID,segmentLocation,dSlopeToPrevSegment
826518.2499150947,7267520.499737879,0,5,2619.7,9225.3,4.243088096419593,4.243088096419593,4.539140512693736,0.6519948683456919,0.9996748602437959,30.216,323.78,5_0_0.0,1.0,
826515.2506515058,7267517.498369105,0,5,2617.1,12285.0,4.243087555375701,8.486175651795294,4.550141976090852,0.6600350288830363,0.9996051683952212,30.057,319.53,5_0_0.0,1.0,
826512.2513891949,7267514.496999819,0,5,2614.4,12294.0,4.243087015649739,12.729262667445035,4.561116905142379,0.6615466195154375,0.9997072145765111,30.306,315.29,5_0_0.0,1.0,
826509.252128162,7267511.495630018,0,5,2611.6,12303.0,4.2350687964166225,16.964331463861658,4.531645143916461,0.6655103925122354,0.9997298689907598,30.299,311.05,5_0_0.0,1.0,
826506.2531291915,7267508.505343596,0,5,2609.0,12312.0,4.243085935621536,21.207417399483194,4.615601613773601,0.6703005704168603,0.9997101315119373,30.355,306.81,5_0_0.0,1.0,
826503.2538707126,7267505.503972771,0,5,2605.7,12321.0,4.243085395237932,25.450502794721125,4.505970891082316,0.6728523961019575,0.999747612881945,30.273,302.56,5_0_0.0,1.0,
826500.2546135117,7267502.502601432,0,5,2603.4,12330.0,4.243084856418662,29.693587651139786,4.58298691889573,0.6700825272985114,0.9997622212993375,30.02,298.32,5_0_0.0,1.0,
826497.2553575876,7267499.501229579,0,5,2600.4,12339.0,4.250081200709696,33.94366885184948,4.611202686135824,0.6680272184783219,0.9997850891581572,30.338,294.08,5_0_0.0,1.0,
826494.2459748496,7267496.500095502,0,5,2597.2,12348.0,4.2430837712915634,38.18675262314105,4.539136469660033,0.6724929060693856,0.9997962250009111,30.132,289.83,5_0_0.0,1.0,
826491.2467214867,7267493.498722623,0,5,2594.6,12357.0,4.2430832333786075,42.42983585651965,4.593882380446692,0.6827613684934948,0.9994642570683672,30.337,285.59,5_0_0.0,1.0,
826488.2474693992,7267490.497349231,0,5,2591.5,12366.0,4.243082692091716,46.67291854861137,4.593881880493685,0.6982432640780547,0.9987122382011578,30.366,281.35,5_0_0.0,1.0,
826485.2482185911,7267487.495975325,0,5,2588.4,12375.0,4.243082151792671,50.91600070040404,4.561112380424507,0.7131301488026576,0.9983110473147107,30.304,277.11,5_0_0.0,1.0,
826482.2489690608,7267484.494600906,0,5,2585.6,12384.0,4.235063925658669,55.15106462606271,4.487289432877629,0.7222434000618579,0.9982923758640858,30.325,272.86,5_0_0.0,1.0,
826479.2499815746,7267481.504309865,0,5,2583.4,12393.0,4.24308107168898,59.394145697751696,4.561111375632642,0.7337690536009688,0.9985259914664044,30.051,268.62,5_0_0.0,1.0,
826476.2507345985,7267478.5029344205,0,5,2580.6,12402.0,4.243080530567713,63.637226228319406,4.63721170412596,0.7369984075286404,0.9986134082954335,30.335,264.38,5_0_0.0,1.0,
826473.2514889005,7267475.501558464,0,5,2577.1,12411.0,4.243079990764381,67.88030621908379,4.701460178287695,0.7376171748548946,0.9986374016057474,30.315,260.14,5_0_0.0,1.0,
826470.2522444807,7267472.5001819935,0,5,2573.0,12420.0,4.243079448738693,72.12338566782249,4.7014596891081135,0.7383672480559657,0.9986738717567022,30.302,255.89,5_0_0.0,1.0,
826467.2530013402,7267469.498805011,0,5,2568.9,12429.0,4.243078910170448,76.36646457799294,4.604749573856705,0.73667040781492,0.9986172453122902,30.044,251.65,5_0_0.0,1.0,
826464.2537594761,7267466.497427514,0,5,2565.7,12438.0,4.243078368721537,80.60954294671448,4.539131419458191,0.7325267140877548,0.998438864202768,30.287,247.41,5_0_0.0,1.0,
826461.2545188906,7267463.496049505,0,5,2563.1,12447.0,4.250074685351837,84.85961763206632,4.611196681022003,0.7322498423347832,0.9984320853362323,30.305,243.17,5_0_0.0,1.0,
826458.2451515174,7267460.494909247,0,5,2559.9,12456.0,4.235059597676743,89.09467722974306,4.520589540742877,0.732220226330609,0.9984320011584822,30.061,238.92,5_0_0.0,1.0,
826455.2461742383,7267457.504614099,0,5,2557.4,12465.0,4.243076747753262,93.33775397749632,4.550131897794246,0.7267532099935391,0.9985818687849755,30.345,234.68,5_0_0.0,1.0,
826452.2469374884,7267454.5032345485,0,5,2554.7,12474.0,4.243076206963703,97.58083018446003,4.572055959642349,0.7178677974493428,0.9990145828105484,30.355,230.44,5_0_0.0,1.0,
826449.2477020153,7267451.501854487,0,5,2551.8,12483.0,4.2430756672456855,101.82390585170572,4.593875392081591,0.70771336910668,0.9994437375740288,30.308,226.19,5_0_0.0,1.0,
826446.2484678202,7267448.500473911,0,5,2548.7,12492.0,4.243075127527576,106.06698097923329,4.539128389662829,0.7022673010306127,0.9995453125871792,30.307,221.95,5_0_0.0,1.0,
826443.2492349022,7267445.499092822,0,5,2546.1,12501.0,4.243074584846984,110.31005556408027,4.647976111446177,0.7067501202544416,0.9995415787068563,29.979,217.71,5_0_0.0,1.0,
826440.2500032645,7267442.497711221,0,5,2542.5,12510.0,4.243074045294208,114.55312960937448,4.62641085009205,0.7132196480956124,0.9996269764786397,30.303,213.47,5_0_0.0,1.0,
