ccID,X,Y,StreamID,BasinID,Elevation,DrainageArea,DownstreamDistance,Slope,R2,ksn,FlowDistance_Catchment,segmentLocation,dSlopeToPrevSegment,DFSI,ccLength
5_9_0.0,828600.002559541,7257711.005254958,9,5,2345.1,158810.0,530.6023425209578,0.9049146115067952,0.977665579033119,93.391,650.38,1.0,,1.0,576.6690389256569
1_33_1.0,828398.9999315254,7256997.003170017,33,1,2700.2,168860.0,702.1434689627047,0.5439382762241722,0.9964450237681914,70.406,10200.0,2.0,0.0782420625597565,1.0,793.8155993733276
1_33_1.0,828369.0037696462,7256982.000980815,33,1,2723.1,156920.0,665.9312014537716,0.631049846001824,0.9995566487560724,70.386,10236.0,2.0,0.0782420625597565,1.0,793.8155993733276
1_33_1.0,828372.0010340713,7256981.996291423,33,1,2721.1,157920.0,668.928736209235,0.6329159049870542,0.999558520330621,70.373,10233.0,2.0,0.0782420625597565,1.0,793.8155993733276
1_33_1.0,828374.9985620071,7256982.002685519,33,1,2718.6,158250.0,673.1703897717482,0.6326015690809179,0.999568796939396,70.408,10230.0,2.0,0.0782420625597565,1.0,793.8155993733276
1_33_1.0,828377.9963714096,7256985.003479369,33,1,2716.5,158440.0,677.4190327935363,0.6304593392302931,0.9995403932691166,70.392,10226.0,2.0,0.0782420625597565,1.0,793.8155993733276
1_33_1.0,828381.0043026535,7256988.004032178,33,1,2714.1,158740.0,680.4163025387975,0.6239921461945528,0.9993260112490476,70.365,10222.0,2.0,0.0782420625597565,1.0,793.8155993733276
1_33_1.0,828384.0015687265,7256987.999340331,33,1,2711.7,159060.0,684.6579573003584,0.6125103991932573,0.99864945144997,70.302,10219.0,2.0,0.0782420625597565,1.0,793.8155993733276
1_33_1.0,828386.9993814328,7256991.000132576,33,1,2708.6,159180.0,687.6552278689625,0.5981190963337922,0.9976779273353796,70.436,10215.0,2.0,0.0782420625597565,1.0,793.8155993733276
1_33_1.0,828389.9966483272,7256990.995439504,33,1,2706.9,163120.0,690.6628851381977,0.5864672640762242,0.9965416829735096,70.289,10212.0,2.0,0.0782420625597565,1.0,793.8155993733276
1_33_1.0,828393.004299309,7256991.001589384,33,1,2705.0,163170.0,694.9045406693587,0.5713323343109942,0.996465806865816,70.458,10209.0,2.0,0.0782420625597565,1.0,793.8155993733276
1_33_1.0,828396.0021147766,7256994.002379958,33,1,2702.6,163380.0,699.1461967422838,0.5552742247831923,0.9965936539356768,70.358,10205.0,2.0,0.0782420625597565,1.0,793.8155993733276
1_33_1.0,828401.9972000679,7256996.998474492,33,1,2698.9,168870.0,705.1511278905957,0.528699829971241,0.9969650212165752,70.306,10197.0,2.0,0.0782420625597565,1.0,793.8155993733276
1_33_1.0,828437.9975164967,7257006.002150202,33,1,2677.6,173860.0,744.8795977709357,0.5609697358422913,0.9985795653631436,70.398,10158.0,2.0,0.0782420625597565,1.0,793.8155993733276
1_33_1.0,828405.0048527133,7256997.00462191,33,1,2697.9,169080.0,708.1484002880227,0.5129762809252899,0.9982762555176784,70.404,10194.0,2.0,0.0782420625597565,1.0,793.8155993733276
1_33_1.0,828408.0021214307,7256996.999925086,33,1,2696.7,169540.0,711.1456727751782,0.5032320846596487,0.9991028088886934,70.331,10191.0,2.0,0.0782420625597565,1.0,793.8155993733276
1_33_1.0,828410.9993902368,7256996.995227612,33,1,2695.3,169890.0,715.3873298427519,0.5028355014130602,0.9991064546769964,70.214,10188.0,2.0,0.0782420625597565,1.0,793.8155993733276
1_33_1.0,828413.9972112186,7256999.996014848,33,1,2692.6,169910.0,719.6359763825292,0.5065265189511747,0.9987244406851256,70.335,10184.0,2.0,0.0782420625597565,1.0,793.8155993733276
1_33_1.0,828417.0051540555,7257002.996561017,33,1,2690.5,170150.0,722.6335170039036,0.518515546973693,0.997730110277651,70.414,10180.0,2.0,0.0782420625597565,1.0,793.8155993733276
1_33_1.0,828420.0026878769,7257003.002945878,33,1,2689.0,170160.0,725.6307911417155,0.5333177117530713,0.997290061500876,70.301,10177.0,2.0,0.0782420625597565,1.0,793.8155993733276
1_33_1.0,828422.9999583298,7257002.998245949,33,1,2687.6,170290.0,728.6283319426269,0.5474569716801825,0.9979407286346934,70.468,10174.0,2.0,0.0782420625597565,1.0,793.8155993733276
