latitude,longitude,Junction Index,Stream Order,NI,receiver_NI,receiver_JI
-24.736706,-65.749452,0,1,531,530,1
-24.736707,-65.749482,0,1,530,529,1
-24.736707,-65.749511,0,1,529,528,1
-24.736708,-65.749541,0,1,528,527,1
-24.736709,-65.749571,0,1,527,526,1
-24.736709,-65.7496,0,1,526,525,1
-24.73671,-65.74963,0,1,525,524,1
-24.736711,-65.749659,0,1,524,523,1
-24.736711,-65.749689,0,1,523,522,1
-24.736712,-65.749719,0,1,522,521,1
-24.736713,-65.749748,0,1,521,520,1
-24.736713,-65.749778,0,1,520,519,1
-24.736714,-65.749807,0,1,519,518,1
-24.736714,-65.749837,0,1,518,517,1
-24.736715,-65.749867,0,1,517,516,1
-24.736716,-65.749896,0,1,516,515,1
-24.736716,-65.749926,0,1,515,514,1
-24.736717,-65.749956,0,1,514,513,1
-24.736718,-65.749985,0,1,513,512,1
-24.736718,-65.750015,0,1,512,511,1
-24.736719,-65.750044,0,1,511,510,1
-24.73672,-65.750074,0,1,510,509,1
-24.73672,-65.750104,0,1,509,508,1
-24.736721,-65.750133,0,1,508,507,1
-24.736722,-65.750163,0,1,507,506,1
-24.736722,-65.750193,0,1,506,505,1
-24.736723,-65.750222,0,1,505,504,1
-24.736723,-65.750252,0,1,504,503,1
-24.736724,-65.750281,0,1,503,502,1
-24.736725,-65.750311,1,2,502,501,2
-24.736725,-65.750341,1,2,501,500,2
-24.736726,-65.75037,1,2,500,499,2
-24.736727,-65.7504,1,2,499,498,2
-24.736727,-65.750429,1,2,498,497,2
-24.736728,-65.750459,1,2,497,496,2
-24.736729,-65.750489,1,2,496,495,2
-24.736729,-65.750518,1,2,495,494,2
-24.73673,-65.750548,1,2,494,493,2
-24.736731,-65.750578,1,2,493,492,2
-24.736731,-65.750607,1,2,492,491,2
-24.736732,-65.750637,1,2,491,490,2
-24.736732,-65.750666,1,2,490,489,2
-24.736733,-65.750696,1,2,489,488,2
-24.736734,-65.750726,1,2,488,487,2
-24.736734,-65.750755,1,2,487,486,2
-24.736735,-65.750785,1,2,486,485,2
-24.736736,-65.750815,1,2,485,484,2
-24.736736,-65.750844,1,2,484,483,2
-24.736737,-65.750874,1,2,483,482,2
-24.736738,-65.750903,1,2,482,481,2
-24.736738,-65.750933,1,2,481,480,2
-24.736739,-65.750963,1,2,480,479,2
-24.73674,-65.750992,1,2,479,478,2
-24.73674,-65.751022,1,2,478,477,2
-24.736741,-65.751051,1,2,477,476,2
-24.736741,-65.751081,1,2,476,475,2
-24.736742,-65.751111,1,2,475,474,2
-24.736743,-65.75114,1,2,474,473,2
-24.736743,-65.75117,1,2,473,472,2
-24.736744,-65.7512,1,2,472,471,2
-24.736745,-65.751229,1,2,471,470,2
-24.736745,-65.751259,1,2,470,469,2
-24.736746,-65.751288,1,2,469,468,2
-24.736747,-65.751318,1,2,468,467,2
-24.736747,-65.751348,1,2,467,466,2
-24.736748,-65.751377,1,2,466,465,2
-24.736748,-65.751407,1,2,465,464,2
-24.736749,-65.751437,1,2,464,463,2
-24.73675,-65.751466,1,2,463,462,2
-24.73675,-65.751496,1,2,462,461,2
-24.736751,-65.751525,1,2,461,460,2
-24.736752,-65.751555,1,2,460,459,2
-24.736752,-65.751585,1,2,459,458,2
-24.736753,-65.751614,1,2,458,457,2
-24.736754,-65.751644,1,2,457,456,2
-24.736754,-65.751673,1,2,456,2693,2
-24.736782,-65.751702,1,2,2693,2692,2
-24.736783,-65.751732,1,2,2692,2691,2
-24.736783,-65.751762,1,2,2691,2690,2
-24.736784,-65.751791,1,2,2690,4931,2
-24.736812,-65.75182,1,2,4931,4930,2
-24.736812,-65.75185,1,2,4930,4929,2
-24.736813,-65.751879,1,2,4929,4928,2
-24.736814,-65.751909,1,2,4928,4927,2
-24.736814,-65.751939,1,2,4927,7168,2
-24.736842,-65.751968,1,2,7168,7167,2
-24.736842,-65.751997,1,2,7167,9409,2
-24.73687,-65.752026,1,2,9409,9408,2
-24.736871,-65.752056,1,2,9408,11651,2
-24.736899,-65.752085,1,2,11651,11650,2
-24.736899,-65.752114,1,2,11650,11649,2
-24.7369,-65.752144,1,2,11649,13893,2
-24.736928,-65.752173,1,2,13893,16138,2
-24.736955,-65.752202,1,2,16138,16137,2
-24.736956,-65.752231,1,2,16137,18383,2
-24.736984,-65.75226,1,2,18383,18382,2
-24.736984,-65.75229,1,2,18382,18381,2
-24.736985,-65.752319,1,2,18381,18380,2
-24.736985,-65.752349,1,2,18380,18379,2
-24.736986,-65.752379,1,2,18379,18378,2
-24.736987,-65.752408,1,2,18378,18377,2
-24.736987,-65.752438,1,2,18377,18376,2
-24.736988,-65.752468,1,2,18376,18375,2
-24.736989,-65.752497,1,2,18375,18374,2
-24.736989,-65.752527,1,2,18374,18373,2
-24.73699,-65.752556,1,2,18373,18372,2
-24.736991,-65.752586,1,2,18372,18371,2
-24.736991,-65.752616,1,2,18371,20618,2
-24.737019,-65.752645,1,2,20618,22867,2
-24.737046,-65.752644,1,2,22867,25116,2
-24.737073,-65.752643,2,2,25116,25116,2
-24.736032,-65.718531,3,1,1575,1574,4
-24.736032,-65.71856,3,1,1574,1573,4
-24.736033,-65.71859,3,1,1573,1572,4
-24.736034,-65.71862,3,1,1572,1571,4
-24.736034,-65.718649,3,1,1571,1570,4
-24.736035,-65.718679,3,1,1570,1569,4
-24.736036,-65.718708,3,1,1569,1568,4
-24.736036,-65.718738,3,1,1568,1567,4
-24.736037,-65.718768,3,1,1567,1566,4
-24.736038,-65.718797,3,1,1566,1565,4
-24.736038,-65.718827,3,1,1565,1564,4
-24.736039,-65.718856,3,1,1564,1563,4
-24.73604,-65.718886,3,1,1563,1562,4
-24.73604,-65.718916,3,1,1562,1561,4
-24.736041,-65.718945,3,1,1561,1560,4
-24.736041,-65.718975,3,1,1560,1559,4
-24.736042,-65.719005,3,1,1559,1558,4
-24.736043,-65.719034,3,1,1558,1557,4
-24.736043,-65.719064,3,1,1557,1556,4
-24.736044,-65.719093,3,1,1556,1555,4
-24.736045,-65.719123,3,1,1555,1554,4
-24.736045,-65.719153,3,1,1554,1553,4
-24.736046,-65.719182,3,1,1553,1552,4
-24.736047,-65.719212,3,1,1552,1551,4
-24.736047,-65.719242,3,1,1551,1550,4
-24.736048,-65.719271,3,1,1550,1549,4
-24.736049,-65.719301,3,1,1549,1548,4
-24.736049,-65.71933,3,1,1548,1547,4
-24.73605,-65.71936,3,1,1547,1546,4
-24.736051,-65.71939,3,1,1546,1545,4
