ccID,ccLength,ccMeanSlope,ccStdSlope,minDrainageArea,maxDrainageArea,segmentLocation,slopeChangeToPrevCC,meanKSN
10_0_0.0,110.58730654493202,0.7069059044219033,0.0807905462330252,9540.0,111730.0,4.0,,30.380156249999995
12_0_0.0,183.2939775586861,0.6829266524828662,0.0764765164752906,9000.0,58644.0,1.0,,40.356098039215695
12_0_1.0,55.13322316790772,0.2303681610942581,0.0881198135991606,58653.0,64332.0,3.0,0.4513095341427424,33.72355555555556
13_0_0.0,704.5299777061607,0.5850490190439647,0.0933294432098925,10476.0,150540.0,1.0,,49.27243750000002
13_0_1.0,53.38821507695212,0.716426449114782,0.1320080691713104,150600.0,156580.0,2.0,-0.1313774300708178,63.085375
13_0_2.0,138.78373389511938,0.4694487104486756,0.0830327442189293,156630.0,175330.0,3.0,0.2478152247167354,63.09507692307693
13_1_0.0,626.7762137883154,0.5641708733518556,0.0892707323125854,9711.0,149610.0,1.0,,50.45769886363637
13_2_0.0,83.26153844559607,0.517286359881005,0.0679915881206324,9666.0,47538.0,1.0,,31.578478260869566
13_3_0.0,547.7075765443442,0.5701706266480345,0.0880880312086223,9000.0,149620.0,1.0,,49.55743949044588
13_4_0.0,229.5065098091393,0.5084755967619795,0.0721408771742227,9135.0,149600.0,1.0,,54.214230769230745
14_0_0.0,413.0908582174932,0.6970618831752714,0.1074715996309944,9234.0,75168.0,1.0,,47.23265999999999
14_0_1.0,228.17090893957507,0.3651147680517771,0.0798886182094816,75177.0,96741.0,3.0,0.3318912252079006,34.51187931034482
14_1_0.0,326.299971562452,0.7174542821815736,0.1151719144892834,9000.0,75150.0,1.0,,52.45956578947367
14_2_0.0,236.66228642979692,0.7245239824095699,0.1195714436072122,9027.0,75141.0,1.0,,58.899111111111104
14_3_0.0,111.20828989624157,0.8258265643247835,0.0832965097321863,9144.0,73359.0,1.0,,38.31153571428572
14_4_0.0,96.41249348047296,0.2929476767466126,0.0498998718301993,9270.0,96741.0,4.0,,33.94214814814814
15_0_0.0,336.36792055647135,0.6513464188083423,0.1138385453869068,9126.0,39393.0,1.0,,33.49934375
15_0_1.0,87.85936448806879,0.2611154374290401,0.0504803338459029,39402.0,59481.0,3.0,0.3902920803262462,18.506538461538454
15_1_0.0,277.1274785393208,0.625725792135763,0.1038966611667782,11934.0,39402.0,1.0,,30.88939506172839
16_0_0.0,226.49355541393436,0.7154288443125931,0.1335095671187892,9414.0,40590.0,1.0,,42.82124999999998
16_0_1.0,94.07693867464567,0.3500695871128615,0.0868036334254594,40599.0,47223.0,3.0,0.3642811297633735,26.136384615384618
17_0_0.0,166.27605328851183,0.5771547999830019,0.1064612918165706,9036.0,215230.0,1.0,,48.60809523809523
17_0_1.0,569.9291117427694,0.3668120639900949,0.0776998284332193,215650.0,349160.0,2.0,0.2103427359929071,58.51521383647799
17_0_2.0,39.30209465097549,0.7430439255247578,0.1147549138186337,349160.0,353460.0,2.0,-0.3762318615346631,97.37127272727274
17_0_3.0,43.43017480806476,1.067585591348608,0.0930789233718364,353570.0,353780.0,2.0,-0.3245416658238504,129.79916666666668
17_0_4.0,111.3646573766019,0.7493251690887217,0.1289487488470954,358280.0,374880.0,2.0,0.3416236429999483,129.67645161290324
17_0_5.0,40.05883794062887,0.5021831245620626,0.1008604389709257,375030.0,379560.0,2.0,0.2237788237865974,130.1175
17_0_6.0,47.54473290109098,0.8491639703209467,0.0667627644483795,379570.0,381200.0,2.0,-0.3469808457588841,129.84714285714287
17_0_7.0,35.895917487430005,1.1864802780141046,0.1269605238397474,381210.0,381420.0,2.0,-0.3373163076931579,118.20820000000003
