ccID,ccLength,ccMeanSlope,ccStdSlope,minDrainageArea,maxDrainageArea,segmentLocation,slopeChangeToPrevCC,meanKSN
12_0_0.0,183.29397755868567,0.6829266524840687,0.07647651647711785,9000.0,58644.0,1.0,,40.356098039215695
12_0_1.0,55.13322316782838,0.2303681610943734,0.08811981359980797,58653.0,64332.0,3.0,0.45130953414381914,33.723555555555556
13_0_0.0,704.5299777032847,0.5850490190461819,0.09332944321072092,10476.0,150540.0,1.0,,49.27243750000002
13_0_1.0,53.38821507561082,0.7164264491184363,0.13200806916335858,150600.0,156580.0,2.0,-0.13137743007225433,63.085375
13_0_2.0,138.78373389614808,0.4694487104562508,0.08303274421925759,156630.0,175330.0,3.0,0.24781522471286344,63.095076923076924
13_1_0.0,626.776213786643,0.5641708733519976,0.08927073231123543,9711.0,149610.0,1.0,,50.45769886363635
13_2_0.0,83.2615384437874,0.5172863598868529,0.06799158812057712,9666.0,47538.0,1.0,,31.578478260869566
13_3_0.0,547.7075765430732,0.5701706266477777,0.08808803120636932,9000.0,149620.0,1.0,,49.55743949044588
13_4_0.0,229.50650981144304,0.5084755967593193,0.07214087716870138,9135.0,149600.0,1.0,,54.214230769230745
14_0_0.0,413.09085821581283,0.6970618831800118,0.1074715996329428,9234.0,75168.0,1.0,,47.23265999999999
14_0_1.0,228.17090893977962,0.3651147680499092,0.07988861821169241,75177.0,96741.0,3.0,0.3318912252142279,34.511879310344824
14_1_0.0,326.29997156089433,0.7174542821857522,0.11517191449380132,9000.0,75150.0,1.0,,52.459565789473665
14_2_0.0,236.66228642837558,0.7245239824183645,0.11957144361237644,9027.0,75141.0,1.0,,58.899111111111104
14_3_0.0,111.20828989773368,0.8258265643295025,0.08329650972900635,9144.0,73359.0,1.0,,38.31153571428572
14_4_0.0,96.41249348220533,0.29294767673900923,0.04989987182616859,9270.0,96741.0,4.0,,33.94214814814814
15_0_0.0,336.36792055936934,0.6513464188029711,0.11383854538006624,9126.0,39393.0,1.0,,33.49934375
15_0_1.0,87.85936448970288,0.2611154374202711,0.050480333848426116,39402.0,59481.0,3.0,0.3902920803298748,18.506538461538458
15_1_0.0,277.12747854058966,0.6257257921301885,0.10389666116002204,11934.0,39402.0,1.0,,30.88939506172839
16_0_0.0,226.49355541485735,0.7154288443085517,0.1335095671148024,9414.0,40590.0,1.0,,42.82124999999998
16_0_1.0,94.07693867445089,0.3500695871136173,0.08680363341661045,40599.0,47223.0,3.0,0.3642811297584551,26.136384615384618
17_0_0.0,166.2760532860205,0.5771547999941309,0.10646129182193306,9036.0,215230.0,1.0,,48.60809523809523
17_0_1.0,569.9291117426322,0.36681206398966215,0.07769982843157593,215650.0,349160.0,2.0,0.21034273600446884,58.51521383647799
17_0_2.0,39.302094649527234,0.7430439255401439,0.11475491380896369,349160.0,353460.0,2.0,-0.3762318615504817,97.37127272727274
17_0_3.0,43.43017480917284,1.067585591331296,0.09307892336929985,353570.0,353780.0,2.0,-0.3245416657911523,129.79916666666668
17_0_4.0,111.3646573772081,0.7493251690866348,0.12894874884621088,358280.0,374880.0,2.0,0.341623642984729,129.67645161290324
17_0_5.0,40.058837940264056,0.5021831245641637,0.10086043897070639,375030.0,379560.0,2.0,0.22377882378240344,130.1175
17_0_6.0,47.544732901105576,0.849163970323894,0.06676276444879214,379570.0,381200.0,2.0,-0.3469808457597303,129.84714285714287
17_0_7.0,35.89591748744275,1.1864802780172092,0.12696052382375142,381210.0,381420.0,2.0,-0.33731630769331544,118.20820000000003
17_0_8.0,62.35940865487346,0.3985222097391105,0.14029045859656394,382040.0,502050.0,3.0,0.7886551076004384,116.19183333333334
17_1_0.0,97.2773767041335,0.6681198846403921,0.08291881752824011,9009.0,21033.0,1.0,,28.997814814814816
17_2_0.0,622.2147841861939,0.3791294917528767,0.08716075475673406,9027.0,349160.0,1.0,,56.76363372093023
17_3_0.0,535.4515188485427,0.5816162124369488,0.09507244160988845,9018.0,67554.0,1.0,,37.31227205882353
17_3_1.0,120.94526222023666,0.9700032790304808,0.11281701026706209,67725.0,75321.0,2.0,-0.3883870665935323,82.75316666666667
17_3_2.0,218.71802032374248,0.7087096918742447,0.07257205721229129,81297.0,96795.0,2.0,0.2612935871562364,73.62156603773586
17_3_3.0,51.3748336094103,1.138117334068398,0.11639465854884859,96804.0,98784.0,2.0,-0.4294076421941536,93.33416666666666
17_3_4.0,61.22271208462851,0.40777548616721426,0.14995881078688736,98793.0,502050.0,3.0,0.730717936541101,112.20166666666665
17_4_0.0,455.20068597846756,0.4301628541979031,0.10661395481027298,10746.0,350170.0,1.0,,53.64189682539682
17_5_0.0,198.69324261707433,0.6820099265108365,0.08852454806590698,9081.0,67833.0,1.0,,45.46204081632653
17_6_0.0,41.108528468884465,0.8019888462267204,0.08719383414912323,9297.0,11466.0,1.0,,33.001909090909095
18_0_0.0,209.52816591252005,0.8662856023005319,0.10742580435234568,9360.0,56061.0,1.0,,62.65655102040815
18_0_1.0,424.01275803485066,0.5371480324326282,0.08887297779836437,56160.0,198770.0,2.0,0.32913756986790343,58.62081818181819
18_0_2.0,560.0527667412102,0.29870694352413407,0.07251213123568966,199490.0,773500.0,2.0,0.24262563225894523,66.76486842105268
18_0_3.0,48.94992869776447,0.9166882800163768,0.17345299039685141,773500.0,774430.0,2.0,-0.6221658798426937,82.78138461538461
18_0_4.0,576.3098034587846,0.31997512553797197,0.08808932340682422,775470.0,1012100.0,2.0,0.596713154478405,81.47503205128207
18_0_5.0,183.00297076234176,0.5053709743768312,0.14135334193637736,1012200.0,1043000.0,3.0,-0.16218405287469911,110.79159183673472
18_10_0.0,533.870570455908,0.35944454706609597,0.11443311177862425,10332.0,773500.0,1.0,,61.870598591549324
18_11_0.0,153.02766678751425,0.5717163591263595,0.1238596984818916,11709.0,24039.0,1.0,,28.838631578947368
18_12_0.0,464.44519380253115,0.34170616735704734,0.10377710515542461,9045.0,773500.0,1.0,,67.23005645161292
18_13_0.0,234.20676163824018,0.6560928782513848,0.0750074464136185,9315.0,22005.0,1.0,,30.371303571428577
18_13_1.0,227.96042319992955,0.3549530238794084,0.08041635250517619,22383.0,773500.0,2.0,0.30113985437197616,76.56163934426229
18_14_0.0,427.5211469517734,0.37414643469061265,0.08692648313116115,11313.0,773500.0,1.0,,62.95646902654868
